Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Fitting_Time,Spearmanr,optimizer
benchmarking_xGPR/benchmark_evals/fluorescence_eval/conv_features/standard,RBF,[-0.7729011  1.3109955 -4.4155039],3000,8192,12.1057472229004,0.668752991714456,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/conv_features/standard,RBF,[-0.7729011  1.4053097 -4.501004 ],3000,16384,25.2144362926483,0.673080580542193,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/conv_features/standard,RBF,[-0.7729011  1.4412147 -4.501004 ],3000,16384,16.9012932777405,0.673001857538858,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/conv_features/standard,RBF,[-0.7729011  1.3109955 -4.4155039],3000,16384,16.8978230953217,0.673404553688269,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,Conv1d,[-0.852417  -1.3881044 -0.1770846],3000,8192,14.9352355003357,0.678273732779463,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,Conv1d,[-0.852417  -1.3881044 -0.1780536],3000,8192,14.9963934421539,0.679232335968247,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,Conv1d,[-0.8072863 -1.340787  -0.2479521],3000,8192,16.8687384128571,0.679317551884186,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,Conv1d,[-0.852417  -1.3881044 -0.1770846],3000,16384,33.5137145519257,0.680704685948403,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,Conv1d,[-0.852417  -1.3881044 -0.1780536],3000,16384,35.1322672367096,0.680527382028031,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,Conv1d,[-0.8072863 -1.340787  -0.2479521],3000,16384,33.7552275657654,0.681198958467811,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,FHTConv1d,[-0.852417  -1.3723319 -0.1774202],3000,8192,23.6088380813599,0.67873849384669,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,FHTConv1d,[-0.852417  -1.3723319 -0.1595486],3000,8192,17.3335754871368,0.678015118784608,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,FHTConv1d,[-0.852417  -1.3723319 -0.1493524],3000,8192,18.1003837585449,0.677911708196557,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,FHTConv1d,[-0.852417  -1.3723319 -0.1774202],3000,16384,35.0534098148346,0.680033726083788,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,FHTConv1d,[-0.852417  -1.3723319 -0.1595486],3000,16384,35.3552298545837,0.68033512016182,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot_conv/standard,FHTConv1d,[-0.852417  -1.3723319 -0.1493524],3000,16384,35.9709582328796,0.680386011239743,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot/standard,RBF,[-0.8072863  1.5586339 -2.1246963],3000,8192,8.88706254959106,0.676704916912419,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot/standard,RBF,[-0.8072863  1.5993909 -2.1504584],3000,8192,5.90852522850037,0.677190180943317,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot/standard,RBF,[-0.8072863  1.5790124 -2.118953 ],3000,8192,5.9652636051178,0.676368817644413,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot/standard,RBF,[-0.8072863  1.5586339 -2.1246963],3000,16384,9.00454640388489,0.677289672519782,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot/standard,RBF,[-0.8072863  1.5993909 -2.1504584],3000,16384,9.00169658660889,0.678411377754472,bayes
benchmarking_xGPR/benchmark_evals/fluorescence_eval/onehot/standard,RBF,[-0.8072863  1.5790124 -2.118953 ],3000,16384,9.0302848815918,0.677574568852401,bayes
