Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Tuning_Time,NMLL,optimizer,random_seed
fluorescence_eval/onehot_conv/standard,Conv1d,-0.852417_-1.3881043999999998_-0.17805360000000003,3000,94.23135542869568,18100.684,bayes,124
fluorescence_eval/onehot_conv/standard,Conv1d,-0.852417_-1.3881043999999998_-0.17708459999999993,3000,105.79993653297424,18094.563,bayes,125
fluorescence_eval/onehot_conv/standard,FHTConv1d,-0.852417_-1.3723319_-0.1595486000000001,3000,103.59673166275024,18163.189,bayes,123
fluorescence_eval/onehot_conv/standard,FHTConv1d,-0.852417_-1.3723319_-0.17742019999999997,3000,122.51094818115234,18070.951,bayes,124
fluorescence_eval/onehot_conv/standard,FHTConv1d,-0.852417_-1.3723319_-0.14935240000000002,3000,103.80075192451477,18260.4,bayes,125
stability/conv_features/standard,RBF,-0.17934579999999997_-0.2082445_-5.2461192,3000,149.68972373008728,71683.588,bayes,123
stability/conv_features/standard,RBF,-0.17934579999999997_-0.11120389999999998_-5.3511621,3000,112.67071676254272,71479.075,bayes,124
stability/conv_features/standard,RBF,-0.17934579999999997_-0.17233950000000003_-5.2711352,3000,112.90562438964844,71449.67,bayes,125
stability/onehot_conv/standard,Conv1d,-0.21373110000000003_-1.6094379_-1.1387041,3000,113.10862827301025,68759.475,bayes,123
stability/onehot_conv/standard,Conv1d,-0.21373110000000003_-1.6094379_-1.1904931,3000,112.41224575042725,68687.195,bayes,124
stability/onehot_conv/standard,Conv1d,-0.21373110000000003_-1.6094379_-1.1584649,3000,112.54306364059448,68724.055,bayes,125
stability/onehot_conv/standard,FHTConv1d,-0.21373110000000003_-1.6094379_-1.1326653,3000,129.63000082969666,68603.562,bayes,123
stability/onehot_conv/standard,FHTConv1d,-0.21373110000000003_-1.6094379_-1.1326653,3000,129.64779472351074,68648.819,bayes,124
stability/onehot_conv/standard,FHTConv1d,-0.21373110000000003_-1.6094379_-1.1235666,3000,136.70863008499146,68764.757,bayes,125
thermostability/conv_features/human,RBF,-0.21373110000000003_-0.4044514_-4.8077691,3000,100.12158918380737,10485.155,bayes,123
thermostability/conv_features/human,RBF,-0.21373110000000003_-0.4248299000000001_-4.7746206,3000,83.04183554649353,10455.473,bayes,124
thermostability/conv_features/human,RBF,-0.21373110000000003_-0.3840729_-4.8604793,3000,92.7636330127716,10454.941,bayes,125
thermostability/conv_features/mixed_split,RBF,-0.25886170000000003_-0.4403563999999999_-4.6955878,3000,122.30087566375732,30474.727,bayes,123
thermostability/conv_features/mixed_split,RBF,-0.25886170000000003_-0.4199779000000001_-4.7177659,3000,109.11030626296997,30435.264,bayes,124
thermostability/conv_features/mixed_split,RBF,-0.25886170000000003_-0.4403563999999999_-4.690997,3000,98.53574657440186,30363.4,bayes,125
gb1_eval/onehot/three_vs_rest,RBF,-0.8975476999999998_0.6140590999999999_-0.7700129,2048,28.079810619354248,2454.394,bayes,123
gb1_eval/onehot/three_vs_rest,RBF,-0.8975476999999998_0.5401233999999999_-0.7293617999999998,2048,23.45809030532837,2464.034,bayes,124
gb1_eval/onehot/three_vs_rest,RBF,-0.8975476999999998_0.6140590999999999_-0.7566055,2048,22.973933219909668,2469.706,bayes,125
gb1_eval/onehot/two_vs_rest,RBF,-1.0612871_0.5170185000000002_-0.6682541,2048,19.28944230079651,403.435,bayes,123
gb1_eval/onehot/two_vs_rest,RBF,-1.0612871_0.5577755_-0.6900809,2048,19.9023699760437,406.67,bayes,124
gb1_eval/onehot/two_vs_rest,RBF,-0.9426783000000001_0.5245968999999999_-0.7026343999999999,2048,20.00815486907959,409.713,bayes,125
