Algorithm,Dataset,Kernel_Type,Hyperparams,Num_Fitting_RFFs,Fitting_Time,Niter,achieved_ratio,max_rank,method
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,16.966166019439697,37,25.909475568973424,512,srht_2
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,16384,12.874216556549072,16,4.405655655507537,1024,srht_2
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,32768,75.9606785774231,211,0,0,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,32768,31.153432369232178,81,36.09854040426689,256,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,32768,21.112566471099854,50,8.694422905645906,512,srht
CG,fluorescence_eval/conv_features/onehot_conv/standard,RBF,-0.7729011_1.4412146999999997_-4.501004,32768,15.084798574447632,25,1.503549730479044,1024,srht
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,1.2065620422363281,17,1.4586772418618088,256,gauss
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,1.7845289707183838,12,0.6674223174119877,512,gauss
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,4.8649232387542725,8,0.1713797856922579,1024,gauss
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,0.4042980670928955,96,0,0,srht
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,0.25956249237060547,17,1.4843241923351629,256,srht
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,0.5097153186798096,12,0.6580715159140714,512,srht
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,1.4689583778381348,8,0.16824255122061474,1024,srht
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,0.3311574459075928,13,2.6339595802417852,256,srht_2
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,0.661074161529541,10,1.2109907659525962,512,srht_2
CG,gb1_eval/onehot/three_vs_rest,RBF,-0.8832280464765179_0.23252013335197366_-0.7564112993375892,16384,1.6638894081115723,6,0.34801589377738384,1024,srht_2
