Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Fitting_Time,Spearmanr,random_seed
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,[-0.2588617 -0.3229373 -4.3506352],NA,16384,8.7958664894104,0.36297138000310847,124
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,[-0.2137311 -0.2870322 -4.4058475],NA,8192,6.28925895690918,0.35324480982268786,125
thermostability/conv_features/PFASUM62_standardized_conv/mixed_split,RBF,[-0.2137311 -0.2870322 -4.4058475],NA,16384,8.812000513076782,0.36349202013310744,125
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.8072863  1.1731978 -3.8293091],NA,8192,11.36073923110962,0.6715526782356681,123
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.8072863  1.1731978 -3.8293091],NA,16384,14.282833814620972,0.6751811481820843,123
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.8072863  1.0965357 -3.7741766],NA,8192,11.311058282852173,0.6701404079760348,124
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.8072863  1.0965357 -3.7741766],NA,16384,14.269262313842773,0.6742062504125705,124
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.8072863  1.2906169 -3.9056113],NA,8192,11.749026775360107,0.6711213689955303,125
fluorescence_eval/conv_features/PFASUM62_standardized_conv/standard,RBF,[-0.8072863  1.2906169 -3.9056113],NA,16384,14.691404104232788,0.6747773811944712,125
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.852417  -1.4038769  0.5116856],NA,8192,55.14361047744751,0.6745004905420009,123
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.852417  -1.4038769  0.5116856],NA,16384,107.76159834861755,0.6776393553362289,123
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.852417  -1.4158941  0.2728824],NA,8192,49.364057779312134,0.6805307581243025,124
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.852417  -1.4158941  0.2728824],NA,16384,96.11267733573914,0.6820038150181669,124
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.852417  -1.4038769  0.5116856],NA,8192,55.282524824142456,0.6740352448152165,125
fluorescence_eval/PFASUM62_standardized_conv/standard,FHTConv1d,[-0.852417  -1.4038769  0.5116856],NA,16384,107.80099987983704,0.6772973137521437,125
