Dataset,Kernel_Type,Hyperparams,Num_Train_RFFs,Num_Fitting_RFFs,Tuning_Time,Num_func_evals,Fitting_Time,Spearmanr,MAE,optimizer
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.574343_-2.4327954366461078,1024,8192,80.99590253829956,32,23.98655939102173,0.5653319125705472,0.5756235794815591,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.574343_-2.4327954366461078,1024,16384,80.99590253829956,32,46.281371116638184,0.5721909623440272,0.5711816519053421,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.574343_-2.4327954366461078,1024,32768,80.99590253829956,32,90.6760368347168,0.5756611980424061,0.5683187075588673,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.619619_-2.37671983592779,2048,4096,295.5236279964447,32,12.112298011779785,0.5583846498685162,0.5801338297357999,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.619619_-2.37671983592779,2048,8192,295.5236279964447,32,23.856943130493164,0.5650805957064619,0.5755951539493255,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.619619_-2.37671983592779,2048,16384,295.5236279964447,32,47.29588031768799,0.5722962026234204,0.5710369880054516,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.18770833333333298_-0.619619_-2.37671983592779,2048,32768,295.5236279964447,32,89.72554898262024,0.5759382730074318,0.5680296218087357,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.6648950000000001_-2.262716740625381,4096,4096,807.8711314201355,32,12.396198272705078,0.5571826568040934,0.5804778419785092,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.6648950000000001_-2.262716740625381,4096,8192,807.8711314201355,32,23.945283889770508,0.5636106427554168,0.5762023971731925,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.6648950000000001_-2.262716740625381,4096,16384,807.8711314201355,32,48.21648025512695,0.5714932431561477,0.5713647357627478,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.6648950000000001_-2.262716740625381,4096,32768,807.8711314201355,32,95.3075304031372,0.5760016839405951,0.5677649018308601,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.5969810000000001_-2.230919299317286,8192,4096,3237.2587661743164,32,12.537039518356323,0.5564715235785255,0.5808608155713928,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.5969810000000001_-2.230919299317286,8192,8192,3237.2587661743164,32,24.736979246139526,0.5625937439780334,0.5768574279565548,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.5969810000000001_-2.230919299317286,8192,16384,3237.2587661743164,32,49.47304034233093,0.5704471190159547,0.5720246957560546,bayes
benchmarking_xGPR/benchmark_evals/song_dataset/y_norm,RBF,-0.21570833333333303_-0.5969810000000001_-2.230919299317286,8192,32768,3237.2587661743164,32,99.67510294914246,0.5754481322263703,0.5680978863416053,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.31229166666666597_0.7047809999999998_-0.17455567547024667,512,4096,6.808462619781494,32,1.9112792015075684,0.7338653982398261,0.5301741365117848,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.31229166666666597_0.7047809999999998_-0.17455567547024667,512,8192,6.808462619781494,32,3.0592472553253174,0.7424914938133781,0.5218109646637966,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.31229166666666597_0.7047809999999998_-0.17455567547024667,512,16384,6.808462619781494,32,5.207494735717773,0.7466088444825302,0.5172651299534506,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.31229166666666597_0.7047809999999998_-0.17455567547024667,512,32768,6.808462619781494,32,9.744937419891357,0.7498418861171319,0.5127314494047855,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.3490416666666662_0.19144766666666632_0.25459884901465596,1024,4096,21.168128967285156,35,2.179201364517212,0.7608524586858141,0.5020309884013849,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.3490416666666662_0.19144766666666632_0.25459884901465596,1024,8192,21.168128967285156,35,3.3418688774108887,0.7691275354261529,0.4913375096717936,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.3490416666666662_0.19144766666666632_0.25459884901465596,1024,16384,21.168128967285156,35,5.767519235610962,0.7727503098893086,0.4853968140907003,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.3490416666666662_0.19144766666666632_0.25459884901465596,1024,32768,21.168128967285156,35,10.570032835006714,0.7776406159983982,0.4795639924527383,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.42254166666666615_0.21408566666666642_0.3730419249705719,2048,4096,75.2750289440155,32,2.225809097290039,0.7647928821489652,0.49431258696022123,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.42254166666666615_0.21408566666666642_0.3730419249705719,2048,8192,75.2750289440155,32,3.5078155994415283,0.7772989946514436,0.4814091296939057,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.42254166666666615_0.21408566666666642_0.3730419249705719,2048,16384,75.2750289440155,32,6.165219783782959,0.7822694406214938,0.47297820919041506,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.42254166666666615_0.21408566666666642_0.3730419249705719,2048,32768,75.2750289440155,32,11.466212272644043,0.7880826853039676,0.4656451158273474,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4960416666666662_0.02112366666666651_0.6648292353674554,4096,4096,246.44125771522522,32,2.443246603012085,0.7702248495430329,0.48887245079259,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4960416666666662_0.02112366666666651_0.6648292353674554,4096,8192,246.44125771522522,32,4.036388635635376,0.7916562357402498,0.4635310725080491,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4960416666666662_0.02112366666666651_0.6648292353674554,4096,16384,246.44125771522522,32,6.859482288360596,0.797408164434106,0.4531932829691666,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.4960416666666662_0.02112366666666651_0.6648292353674554,4096,32768,246.44125771522522,32,12.507209062576294,0.8023162998458643,0.44488042368923175,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.5607916666666659_-0.0015143333333333022_0.7947107525838941,8192,4096,1212.19118642807,32,2.6688032150268555,0.767027591226125,0.4940989783472468,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.5607916666666659_-0.0015143333333333022_0.7947107525838941,8192,8192,1212.19118642807,32,4.220194578170776,0.7887210256988433,0.46615893513199447,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.5607916666666659_-0.0015143333333333022_0.7947107525838941,8192,16384,1212.19118642807,32,7.191387176513672,0.7993544650651786,0.4498339771774534,bayes
benchmarking_xGPR/benchmark_evals/uci_protein_dataset/y_norm,RBF,-0.5607916666666659_-0.0015143333333333022_0.7947107525838941,8192,32768,1212.19118642807,32,13.425642490386963,0.8068415016523425,0.4369837833783626,bayes
